family,group,exp,model,method,variant,train_len,eval_len,step,benchmark,pass@1,pass@4,pass@8,pass@32
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,80,livecodebench_v5,0.150089605734767,0.2299027137736815,0.2724014336917563,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,80,livecodebench_v6,0.12285714285714286,0.1803265306122449,0.2057142857142857,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,80,aime2024,0.20729166666666668,,,0.7
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,80,aime2025,0.18645833333333334,,,0.5
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,105,livecodebench_v5,0.14516129032258066,0.21602662570404507,0.24372759856630824,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,105,livecodebench_v6,0.13214285714285715,0.1793469387755102,0.2,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,105,aime2024,0.19270833333333334,,,0.6666666666666666
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,105,aime2025,0.1625,,,0.43333333333333335
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,20,livecodebench_v5,0.16084229390681004,0.2474142345110087,0.2831541218637993,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,20,livecodebench_v6,0.13142857142857142,0.17975510204081632,0.2057142857142857,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,20,aime2024,0.29791666666666666,,,0.7333333333333333
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,20,aime2025,0.240625,,,0.5333333333333333
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,50,livecodebench_v5,0.1447132616487455,0.21879160266257042,0.25089605734767023,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,50,livecodebench_v6,0.12928571428571428,0.18840816326530616,0.21714285714285714,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,50,aime2024,0.25104166666666666,,,0.7333333333333333
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,50,aime2025,0.221875,,,0.6
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,80,livecodebench_v5,0.13440860215053763,0.20706605222734256,0.24372759856630824,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,80,livecodebench_v6,0.11428571428571428,0.15706122448979593,0.17714285714285713,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,80,aime2024,0.20208333333333334,,,0.7666666666666667
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,80,aime2025,0.18125,,,0.5
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,105,livecodebench_v5,0.12231182795698925,0.1948796722990271,0.2222222222222222,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,105,livecodebench_v6,0.12071428571428572,0.155265306122449,0.17142857142857143,
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,105,aime2024,0.18541666666666667,,,0.6
1.5B +KL,r1-1.5b-16k-kl,in-kl,r1-1.5b,intuitor,kl,16384,16384,105,aime2025,0.171875,,,0.5
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,20,livecodebench_v5,0.1617383512544803,0.25627240143369173,0.3010752688172043,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,20,livecodebench_v6,0.135,0.18155102040816326,0.21142857142857144,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,20,aime2024,0.26666666666666666,,,0.7333333333333333
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,20,aime2025,0.23125,,,0.5
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,50,livecodebench_v5,0.15681003584229392,0.23686635944700463,0.2724014336917563,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,50,livecodebench_v6,0.13285714285714287,0.18228571428571427,0.2057142857142857,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,50,aime2024,0.24583333333333332,,,0.7666666666666667
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,50,aime2025,0.221875,,,0.5
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,80,livecodebench_v5,0.14157706093189965,0.2124935995903738,0.24731182795698925,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,80,livecodebench_v6,0.11571428571428571,0.16359183673469385,0.18857142857142858,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,80,aime2024,0.22708333333333333,,,0.7
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,80,aime2025,0.190625,,,0.5
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,105,livecodebench_v5,0.13082437275985664,0.20199692780337944,0.24372759856630824,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,105,livecodebench_v6,0.12,0.16522448979591836,0.18857142857142858,
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,105,aime2024,0.2,,,0.5666666666666667
1.5B +KL,r1-1.5b-16k-kl,tok-kl,r1-1.5b,token_entropy,kl,16384,16384,105,aime2025,0.17395833333333333,,,0.43333333333333335
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,20,livecodebench_v5,0.15770609318996415,0.24562211981566823,0.2939068100358423,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,20,livecodebench_v6,0.135,0.19004081632653064,0.21714285714285714,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,20,aime2024,0.2864583333333333,,,0.8
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,20,aime2025,0.25104166666666666,,,0.5333333333333333
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,50,livecodebench_v5,0.14829749103942652,0.22299027137736815,0.26523297491039427,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,50,livecodebench_v6,0.13285714285714287,0.1944489795918367,0.22857142857142856,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,50,aime2024,0.2635416666666667,,,0.7666666666666667
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,50,aime2025,0.21979166666666666,,,0.5
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,80,livecodebench_v5,0.13530465949820789,0.20885816692268305,0.23655913978494625,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,80,livecodebench_v6,0.12,0.1656326530612245,0.18857142857142858,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,80,aime2024,0.203125,,,0.6
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,80,aime2025,0.18958333333333333,,,0.4666666666666667
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,105,livecodebench_v5,0.14157706093189965,0.21638504864311317,0.25089605734767023,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,105,livecodebench_v6,0.13428571428571429,0.17975510204081632,0.2057142857142857,
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,105,aime2024,0.19375,,,0.6666666666666666
1.5B +KL,r1-1.5b-16k-kl,traj-kl,r1-1.5b,trajectory_entropy,kl,16384,16384,105,aime2025,0.178125,,,0.4666666666666667
